19:33:38,117,0,-125
19:33:38,122,-2,-132
19:33:38,121,-16,-122
19:33:38,134,-28,-107
19:33:38,139,-19,-115
19:33:38,132,-14,-129
19:33:38,123,-10,-123
19:33:38,117,11,-123
19:33:38,115,19,-136
19:33:38,106,10,-139
19:33:38,113,-3,-127
19:33:38,122,-1,-128
19:33:38,122,-8,-134
19:33:38,127,-23,-123
19:33:38,136,-22,-108
19:33:39,136,-15,-119
19:33:39,125,-16,-125
19:33:39,123,-5,-117
19:33:39,122,12,-128
19:33:39,112,15,-142
19:33:39,107,4,-137
19:33:39,114,6,-124
19:33:39,120,3,-131
19:33:39,119,-14,-128
19:33:39,133,-28,-110
19:33:39,140,-21,-114
19:33:39,134,-17,-127
19:33:39,126,-14,-123
19:33:39,121,7,-118
19:33:39,118,18,-136
19:33:39,106,9,-138
19:33:39,112,0,-128
19:33:39,119,5,-131
19:33:39,117,-2,-138
19:33:39,124,-22,-123
19:33:40,137,-22,-112
19:33:40,136,-18,-122
19:33:40,128,-20,-124
19:33:40,126,-9,-113
19:33:40,125,7,-127
19:33:40,115,11,-138
19:33:40,109,5,-134
19:33:40,113,8,-124
19:33:40,118,8,-135
19:33:40,114,-8,-133
19:33:40,129,-23,-114
19:33:40,138,-19,-113
19:33:40,132,-19,-127
19:33:40,129,-20,-121
19:33:40,126,0,-119
19:33:40,124,10,-137
19:33:40,108,9,-138
19:33:40,109,5,-128
19:33:40,114,13,-131
19:33:40,114,5,-139
19:33:41,119,-17,-127
19:33:41,134,-23,-112
19:33:41,137,-18,-120
19:33:41,129,-22,-123
19:33:41,129,-14,-112
19:33:41,128,3,-121
19:33:41,118,8,-138
19:33:41,109,6,-135
19:33:41,111,11,-127
19:33:41,115,14,-137
19:33:41,111,-2,-135
19:33:41,125,-21,-117
19:33:41,136,-20,-115
19:33:41,133,-20,-126
19:33:41,130,-23,-119
19:33:41,129,-6,-111
19:33:41,128,5,-130
19:33:41,112,5,-136
19:33:41,111,5,-126
19:33:41,114,16,-129
19:33:42,113,9,-139
19:33:42,116,-10,-129
19:33:42,130,-20,-113
19:33:42,134,-15,-122
19:33:42,128,-22,-122
19:33:42,131,-18,-112
19:33:42,132,-3,-121
19:33:42,121,5,-138
19:33:42,110,4,-133
19:33:42,110,13,-128
19:33:42,115,16,-138
19:33:42,109,2,-139
19:33:42,122,-18,-118
19:33:42,134,-18,-118
19:33:42,133,-20,-126
19:33:42,131,-23,-118
19:33:42,131,-11,-108
19:33:42,128,3,-128
19:33:42,113,3,-133
19:33:43,111,7,-128
19:33:43,115,16,-132
19:33:43,112,13,-146
19:33:43,113,-8,-133
19:33:43,126,-16,-117
19:33:43,134,-16,-121
19:33:43,128,-22,-122
19:33:43,133,-23,-113
19:33:43,135,-7,-117
19:33:43,127,-1,-131
19:33:43,114,1,-131
19:33:43,111,11,-124
19:33:43,114,18,-138
19:33:43,107,5,-140
19:33:43,119,-13,-125
19:33:43,132,-15,-116
19:33:43,132,-15,-124
19:33:43,130,-24,-122
19:33:43,131,-13,-110
19:33:43,131,-3,-126
19:33:44,117,3,-137
19:33:44,111,6,-132
19:33:44,112,15,-134
19:33:44,113,15,-147
19:33:44,111,-4,-134
19:33:44,124,-16,-115
19:33:44,134,-18,-123
19:33:44,129,-21,-123
19:33:44,132,-25,-110
19:33:44,133,-10,-113
19:33:44,128,0,-131
19:33:44,114,2,-132
19:33:44,111,6,-128
19:33:44,114,17,-131
19:33:44,111,10,-143
19:33:44,114,-10,-129
19:33:44,129,-18,-115
19:33:44,133,-14,-119
19:33:44,129,-20,-125
19:33:44,131,-18,-112
19:33:45,132,-3,-120
19:33:45,123,4,-138
19:33:45,111,3,-132
19:33:45,111,10,-123
19:33:45,114,15,-139
19:33:45,108,5,-128
19:33:45,120,-15,-125
19:33:45,132,-17,-116
19:33:45,133,-17,-126
19:33:45,130,-27,-120
19:33:45,129,-14,-113
19:33:45,132,-1,-123
19:33:45,119,4,-134
19:33:45,112,5,-135
19:33:45,112,15,-116
19:33:45,114,12,-141
19:33:45,111,-4,-134
19:33:45,126,-20,-116
19:33:45,137,-19,-118
19:33:46,133,-19,-124
19:33:46,130,-22,-114
19:33:46,128,-5,-111
19:33:46,125,6,-131
19:33:46,112,5,-134
19:33:46,111,5,-130
19:33:46,114,16,-119
19:33:46,114,8,-146
19:33:46,116,-13,-130
19:33:46,131,-22,-113
19:33:46,137,-20,-118
19:33:46,130,-21,-122
19:33:46,131,-18,-116
19:33:46,129,-1,-120
19:33:46,121,9,-138
19:33:46,109,5,-131
19:33:46,110,6,-129
19:33:46,114,14,-138
19:33:46,112,5,-139
19:33:46,120,-16,-130
19:33:47,134,-20,-114
19:33:47,135,-17,-124
19:33:47,128,-20,-122
19:33:47,129,-11,-110
19:33:47,127,5,-124
19:33:47,118,10,-142
19:33:47,108,4,-132
19:33:47,111,9,-129
19:33:47,116,10,-134
19:33:47,114,-4,-138
19:33:47,126,-23,-119
19:33:47,137,-22,-114
19:33:47,136,-19,-121
19:33:47,129,-20,-125
19:33:47,126,-7,-112
19:33:47,125,7,-126
19:33:47,114,12,-140
19:33:47,109,5,-137
19:33:47,114,8,-116
19:33:47,118,6,-134
19:33:48,115,-9,-133
19:33:48,130,-23,-117
19:33:48,138,-20,-110
19:33:48,134,-16,-123
19:33:48,126,-17,-117
19:33:48,120,3,-121
19:33:48,120,15,-139
19:33:48,108,12,-144
19:33:48,109,4,-133
19:33:48,115,6,-128
19:33:48,118,2,-138
19:33:48,119,-16,-126
19:33:48,133,-27,-107
19:33:48,139,-20,-119
19:33:48,130,-16,-127
19:33:48,125,-12,-123
19:33:48,120,9,-121
19:33:48,117,17,-135
19:33:48,106,9,-137
19:33:49,112,-1,-129
19:33:49,120,3,-130
19:33:49,122,-5,-135
19:33:49,124,-21,-127
19:33:49,135,-23,-108
19:33:49,138,-16,-121
19:33:49,126,-13,-127
19:33:49,121,-3,-126
19:33:49,119,14,-125
19:33:49,114,17,-138
19:33:49,107,4,-140
19:33:49,116,-5,-114
19:33:49,124,-4,-127
19:33:49,122,-12,-131
19:33:49,130,-25,-115
19:33:49,137,-20,-112
19:33:49,134,-12,-126
19:33:49,122,-10,-128
19:33:49,117,2,-124
19:33:49,116,17,-120
19:33:50,111,16,-141
19:33:50,109,-1,-135
19:33:50,119,-8,-123
19:33:50,128,-9,-121
19:33:50,126,-19,-123
19:33:50,134,-25,-113
19:33:50,138,-16,-114
19:33:50,130,-6,-128
19:33:50,118,-4,-130
19:33:50,112,8,-125
19:33:50,116,18,-133
19:33:50,108,13,-144
19:33:50,114,-7,-131
19:33:50,126,-11,-116
19:33:50,132,-15,-124
19:33:50,128,-23,-121
19:33:50,134,-23,-106
19:33:50,135,-8,-120
19:33:50,125,-1,-132
19:33:50,114,3,-135
19:33:51,111,12,-125
19:33:51,113,19,-141
19:33:51,107,6,-139
19:33:51,118,-13,-121
19:33:51,132,-17,-120
19:33:51,133,-17,-128
19:33:51,130,-25,-121
19:33:51,131,-14,-106
19:33:51,131,0,-126
19:33:51,118,5,-138
19:33:51,111,7,-132
